outbound_departure_airport;outbound_arrival_airport;outbound_departure_time;outbound_arrival_time;inbound_departure_airport;inbound_arrival_airport;inbound_departure_time;inbound_arrival_time;total_price
NBO;MBA;Fri Feb 04 06:00:00 GMT 2022;Fri Feb 04 07:10:00 GMT 2022;MBA;NBO;Fri Feb 11 07:30:00 GMT 2022;Fri Feb 11 08:40:00 GMT 2022;87
NBO;MBA;Fri Feb 04 06:00:00 GMT 2022;Fri Feb 04 07:10:00 GMT 2022;MBA;NBO;Fri Feb 11 12:00:00 GMT 2022;Fri Feb 11 13:10:00 GMT 2022;87
NBO;MBA;Fri Feb 04 06:00:00 GMT 2022;Fri Feb 04 07:10:00 GMT 2022;MBA;NBO;Fri Feb 11 20:20:00 GMT 2022;Fri Feb 11 21:30:00 GMT 2022;87
NBO;MBA;Fri Feb 04 08:00:00 GMT 2022;Fri Feb 04 09:10:00 GMT 2022;MBA;NBO;Fri Feb 11 07:30:00 GMT 2022;Fri Feb 11 08:40:00 GMT 2022;84
NBO;MBA;Fri Feb 04 08:00:00 GMT 2022;Fri Feb 04 09:10:00 GMT 2022;MBA;NBO;Fri Feb 11 12:00:00 GMT 2022;Fri Feb 11 13:10:00 GMT 2022;84
NBO;MBA;Fri Feb 04 08:00:00 GMT 2022;Fri Feb 04 09:10:00 GMT 2022;MBA;NBO;Fri Feb 11 20:20:00 GMT 2022;Fri Feb 11 21:30:00 GMT 2022;84
NBO;MBA;Fri Feb 04 18:40:00 GMT 2022;Fri Feb 04 19:50:00 GMT 2022;MBA;NBO;Fri Feb 11 07:30:00 GMT 2022;Fri Feb 11 08:40:00 GMT 2022;84
NBO;MBA;Fri Feb 04 18:40:00 GMT 2022;Fri Feb 04 19:50:00 GMT 2022;MBA;NBO;Fri Feb 11 12:00:00 GMT 2022;Fri Feb 11 13:10:00 GMT 2022;84
NBO;MBA;Fri Feb 04 18:40:00 GMT 2022;Fri Feb 04 19:50:00 GMT 2022;MBA;NBO;Fri Feb 11 20:20:00 GMT 2022;Fri Feb 11 21:30:00 GMT 2022;84
NBO;MBA;Mon Feb 14 06:00:00 GMT 2022;Mon Feb 14 07:10:00 GMT 2022;MBA;NBO;Mon Feb 21 07:30:00 GMT 2022;Mon Feb 21 08:40:00 GMT 2022;84
NBO;MBA;Mon Feb 14 06:00:00 GMT 2022;Mon Feb 14 07:10:00 GMT 2022;MBA;NBO;Mon Feb 21 20:20:00 GMT 2022;Mon Feb 21 21:30:00 GMT 2022;84
NBO;MBA;Mon Feb 14 18:40:00 GMT 2022;Mon Feb 14 19:50:00 GMT 2022;MBA;NBO;Mon Feb 21 07:30:00 GMT 2022;Mon Feb 21 08:40:00 GMT 2022;84
NBO;MBA;Mon Feb 14 18:40:00 GMT 2022;Mon Feb 14 19:50:00 GMT 2022;MBA;NBO;Mon Feb 21 20:20:00 GMT 2022;Mon Feb 21 21:30:00 GMT 2022;84
